id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
12000021,JG200021,2022-10-26T22:30:00.000,5600 N STATE ST,2064,ASSAULT,OPEN,RESIDENCE,true,true,978,16,26,69,10,1183858.21,1825295.56,2022,2022-10-26T08:00:00.000,42.012289,-87.778996
12000022,JG200022,2024-04-05T09:30:00.000,3300 N STATE ST,0659,ROBBERY,OPEN,VEHICLE,true,false,1178,6,21,27,23,1104847.47,1940224.97,2024,2024-04-05T08:00:00.000,41.96112,-87.624219
12000023,JG200023,2023-12-26T01:30:00.000,6500 N STATE ST,1262,THEFT,OPEN,APARTMENT,true,false,2245,10,46,24,20,1188562.13,1880270.2,2023,2023-12-26T08:00:00.000,41.805078,-87.704372
12000024,JG200024,2023-08-14T22:30:00.000,8400 N STATE ST,1091,BATTERY,OPEN,VEHICLE,false,false,2193,3,27,36,20,1144187.75,1941117.29,2023,2023-08-14T08:00:00.000,41.877412,-87.540654
12000025,JG200025,2022-06-17T09:30:00.000,9500 N STATE ST,2044,NARCOTICS,OPEN,STREET,false,false,1443,25,46,56,18,1104892.85,1865172.03,2022,2022-06-17T08:00:00.000,41.839352,-87.678436
12000026,JG200026,2024-08-04T20:30:00.000,1000 N STATE ST,1646,MOTOR VEHICLE THEFT,OPEN,APARTMENT,true,true,1591,9,27,11,22,1127383.36,1899502.3,2024,2024-08-04T08:00:00.000,41.847709,-87.684633
12000027,JG200027,2024-03-16T22:30:00.000,8800 N STATE ST,0137,ROBBERY,OPEN,STREET,true,false,1427,14,13,56,24,1140151.21,1901296.25,2024,2024-03-16T08:00:00.000,41.752285,-87.702218
12000028,JG200028,2024-06-02T17:30:00.000,3100 N STATE ST,1210,ROBBERY,OPEN,VEHICLE,false,false,138,3,47,8,12,1133760.42,1808478.21,2024,2024-06-02T08:00:00.000,41.675043,-87.784386
12000029,JG200029,2023-02-06T18:30:00.000,500 N STATE ST,1718,THEFT,OPEN,APARTMENT,true,true,2419,4,43,72,4,1134514.97,1819336.67,2023,2023-02-06T08:00:00.000,41.980991,-87.810861
12000030,JG200030,2023-08-01T23:30:00.000,8800 N STATE ST,2653,MOTOR VEHICLE THEFT,OPEN,STREET,false,true,471,16,27,73,1,1116142.53,1860002.75,2023,2023-08-01T08:00:00.000,41.975908,-87.769266
12000031,JG200031,2023-01-04T21:30:00.000,8800 N STATE ST,0120,ASSAULT,OPEN,RESIDENCE,true,false,779,21,11,61,6,1154403.62,1864621.2,2023,2023-01-04T08:00:00.000,41.8188,-87.795583
12000032,JG200032,2024-06-01T06:30:00.000,3300 N STATE ST,1084,BATTERY,OPEN,VEHICLE,false,true,2243,12,40,14,15,1123637.09,1824723.21,2024,2024-06-01T08:00:00.000,41.733864,-87.80607
12000033,JG200033,2023-05-28T10:30:00.000,4500 N STATE ST,1462,BURGLARY,OPEN,RESIDENCE,true,false,1021,3,11,28,21,1114456.58,1921492.09,2023,2023-05-28T08:00:00.000,41.982771,-87.718234
12000034,JG200034,2022-07-02T07:30:00.000,7100 N STATE ST,0952,BATTERY,OPEN,STREET,false,false,390,1,11,52,14,1130857.85,1841330.09,2022,2022-07-02T08:00:00.000,41.959484,-87.598456
12000035,JG200035,2024-08-27T02:30:00.000,5000 N STATE ST,2663,THEFT,OPEN,STREET,false,true,528,8,5,47,1,1190035.19,1920983.16,2024,2024-08-27T08:00:00.000,41.740408,-87.632122
12000036,JG200036,2024-08-01T02:30:00.000,2800 N STATE ST,2633,ASSAULT,OPEN,STREET,false,true,1619,5,41,12,9,1124637.21,1893203.01,2024,2024-08-01T08:00:00.000,42.009797,-87.705341
12000037,JG200037,2023-05-04T00:30:00.000,2800 N STATE ST,0442,THEFT,OPEN,RESIDENCE,false,false,1736,16,6,66,12,1180544.65,1812844.16,2023,2023-05-04T08:00:00.000,41.670865,-87.684117
12000038,JG200038,2023-11-08T16:30:00.000,9500 N STATE ST,2354,ASSAULT,OPEN,RESIDENCE,true,false,1731,21,33,17,22,1100465.01,1912087.28,2023,2023-11-08T08:00:00.000,41.868207,-87.709589
12000039,JG200039,2022-09-26T02:30:00.000,1300 N STATE ST,0449,ROBBERY,OPEN,APARTMENT,false,false,1810,3,1,3,13,1177122.68,1829144.23,2022,2022-09-26T08:00:00.000,41.975952,-87.635912
12000040,JG200040,2023-05-22T10:30:00.000,600 N STATE ST,1270,MOTOR VEHICLE THEFT,OPEN,VEHICLE,true,false,1994,25,25,72,17,1149341.7,1901890.55,2023,2023-05-22T08:00:00.000,41.786423,-87.557305
12000041,JG200041,2022-04-21T16:30:00.000,4900 N STATE ST,2688,ASSAULT,OPEN,STREET,false,false,2027,19,21,62,15,1195105.29,1852975.11,2022,2022-04-21T08:00:00.000,41.771479,-87.579222
12000042,JG200042,2022-08-05T23:30:00.000,1900 N STATE ST,1177,MOTOR VEHICLE THEFT,OPEN,VEHICLE,false,true,1190,14,34,59,23,1128671.4,1806835.86,2022,2022-08-05T08:00:00.000,41.787508,-87.522128
12000043,JG200043,2024-07-25T23:30:00.000,5900 N STATE ST,1678,MOTOR VEHICLE THEFT,OPEN,STREET,true,false,2308,13,43,69,17,1137756.41,1919641.91,2024,2024-07-25T08:00:00.000,41.714922,-87.604261
12000044,JG200044,2024-12-02T20:30:00.000,1200 N STATE ST,1316,MOTOR VEHICLE THEFT,OPEN,VEHICLE,false,true,1001,5,5,43,13,1140013.49,1843918.6,2024,2024-12-02T08:00:00.000,41.934651,-87.736564
12000045,JG200045,2022-11-05T09:30:00.000,1800 N STATE ST,0783,THEFT,OPEN,STREET,false,true,2269,18,26,64,8,1198569.69,1828549.11,2022,2022-11-05T08:00:00.000,41.680803,-87.813366
12000046,JG200046,2023-03-24T08:30:00.000,1200 N STATE ST,1854,MOTOR VEHICLE THEFT,OPEN,APARTMENT,false,false,1284,25,50,40,21,1150844.21,1876984.73,2023,2023-03-24T08:00:00.000,41.694043,-87.846425
12000047,JG200047,2023-11-21T03:30:00.000,300 N STATE ST,1612,MOTOR VEHICLE THEFT,OPEN,STREET,true,false,521,22,23,57,2,1199367.55,1890294.22,2023,2023-11-21T08:00:00.000,42.016101,-87.702549
12000048,JG200048,2024-09-06T05:30:00.000,500 N STATE ST,2575,NARCOTICS,OPEN,APARTMENT,true,true,1924,5,42,62,17,1112564.28,1925993.88,2024,2024-09-06T08:00:00.000,41.774908,-87.825376
12000049,JG200049,2022-06-13T18:30:00.000,2200 N STATE ST,1128,MOTOR VEHICLE THEFT,OPEN,VEHICLE,false,false,1914,9,37,64,13,1116036.35,1887456.36,2022,2022-06-13T08:00:00.000,41.952812,-87.834028
