weight,alcohol_past12m,heavy_drinking_30d,ebac_tot,ebac_legal,cannabis_any_use,age_group,gender,province_region,mental_health,physical_health
1061.59,1,0,0.1304,0.08,0,25-44,male,Ontario,4,4
718.65,1,1,0.1462,0.0791,0,25-44,female,Quebec,3,3
848.96,0,0,0.0,0.0,0,65+,female,Ontario,2,4
953.83,0,0,0.0,0.0,1,25-44,female,Quebec,4,3
696.28,1,1,0.026,0.0226,0,15-24,male,Prairies,3,3
978.64,1,0,0.1007,0.078,0,25-44,female,Ontario,4,3
559.75,1,0,0.0333,0.0374,0,15-24,female,Ontario,4,4
1099.37,1,1,0.0213,0.0261,1,45-64,male,Prairies,3,3
408.05,1,0,0.142,0.08,0,65+,female,Quebec,5,3
651.94,1,0,0.0545,0.055,0,15-24,female,BC,4,4
626.17,1,0,0.0013,0.0042,1,65+,female,Ontario,4,3
1024.35,1,0,0.0965,0.08,0,45-64,female,Quebec,5,2
833.42,1,0,0.0867,0.0792,0,15-24,female,Ontario,3,4
935.62,1,0,0.159,0.08,0,25-44,male,Quebec,3,4
721.98,1,0,0.0997,0.08,0,65+,female,Ontario,3,3
681.77,1,1,0.1154,0.08,0,15-24,other,Ontario,3,5
880.39,1,0,0.1529,0.0752,0,25-44,female,Ontario,3,2
997.72,0,0,0.0,0.0,0,45-64,female,Ontario,5,4
830.18,1,1,0.0925,0.0769,1,45-64,female,Prairies,4,1
556.09,1,0,0.0055,0.0013,0,45-64,other,Atlantic,3,5
788.69,1,1,0.1601,0.0764,0,45-64,female,Quebec,4,4
789.97,1,0,0.1243,0.0753,1,65+,female,Quebec,4,3
875.74,0,0,0.0,0.0,0,65+,female,Prairies,4,3
440.84,1,0,0.0757,0.0786,0,25-44,male,Prairies,2,4
625.32,1,0,0.0013,0.0007,1,15-24,female,Prairies,4,4
688.64,1,1,0.0537,0.0513,1,45-64,female,Ontario,3,5
766.2,1,0,0.1747,0.08,1,25-44,female,Ontario,5,4
820.28,0,0,0.0,0.0,1,25-44,female,Quebec,5,3
769.25,1,0,0.1508,0.0752,0,45-64,female,Prairies,4,4
957.07,1,0,0.1265,0.0782,0,45-64,female,Quebec,5,5
730.9,1,1,0.0613,0.0568,1,25-44,female,Ontario,5,5
855.05,0,0,0.0,0.0,1,65+,male,Quebec,1,3
789.1,0,0,0.0,0.0,1,65+,female,Quebec,5,4
558.41,1,0,0.1433,0.076,0,65+,male,BC,1,4
729.71,1,0,0.099,0.08,1,25-44,male,Quebec,3,4
990.69,1,0,0.117,0.08,0,25-44,male,Ontario,4,5
908.68,1,0,0.0984,0.0753,0,65+,female,Quebec,1,5
862.04,0,0,0.0,0.0,1,45-64,female,Ontario,3,4
786.97,0,0,0.0,0.0,0,25-44,male,Prairies,4,4
490.19,1,0,0.0012,0.0,0,45-64,female,Ontario,4,5
672.04,1,1,0.0051,0.0099,0,25-44,female,Quebec,4,3
732.09,1,0,0.1181,0.0784,0,25-44,male,Quebec,3,4
815.55,1,0,0.028,0.0261,0,45-64,male,Quebec,5,5
801.4,0,0,0.0,0.0,0,15-24,female,Quebec,5,2
470.34,1,1,0.102,0.0765,1,45-64,female,Atlantic,2,2
660.38,1,1,0.1309,0.08,1,65+,male,BC,3,3
838.28,1,1,0.1362,0.08,0,25-44,female,BC,3,1
505.05,0,0,0.0,0.0,0,45-64,female,BC,3,4
627.4,1,0,0.0607,0.0588,0,65+,male,Ontario,4,5
699.91,1,0,0.1371,0.0778,0,65+,female,BC,3,3
1508.73,1,0,0.1734,0.08,1,15-24,male,Ontario,4,5
593.19,1,1,0.1664,0.0797,0,45-64,male,Ontario,3,2
644.87,1,1,0.0211,0.0219,0,45-64,male,Ontario,3,4
908.4,1,1,0.1539,0.0761,0,45-64,female,Ontario,3,2
683.84,1,0,0.0309,0.0339,0,45-64,female,Ontario,1,4
488.66,1,0,0.162,0.0774,0,65+,female,Prairies,3,4
500.06,1,1,0.111,0.08,0,15-24,female,Ontario,3,3
635.08,1,1,0.0057,0.0031,0,45-64,female,Quebec,5,4
891.21,1,0,0.1358,0.0772,0,15-24,male,Ontario,5,5
534.64,1,0,0.0824,0.08,0,65+,female,BC,4,4
756.19,1,0,0.0367,0.0405,1,25-44,male,Ontario,4,5
480.63,1,0,0.1614,0.08,0,25-44,male,Ontario,4,4
606.21,0,0,0.0,0.0,0,65+,female,Quebec,4,4
555.34,1,0,0.081,0.08,0,65+,male,Prairies,4,5
790.54,1,0,0.0677,0.0679,0,25-44,female,Prairies,1,5
793.32,0,0,0.0,0.0,0,45-64,female,Quebec,4,2
1065.71,1,0,0.0026,0.0047,0,45-64,male,BC,5,5
966.9,0,0,0.0,0.0,0,25-44,female,Quebec,5,4
367.67,1,0,0.112,0.0754,0,15-24,male,Ontario,3,3
578.37,1,0,0.0944,0.08,1,25-44,female,Ontario,5,4
952.97,1,0,0.1188,0.0764,1,25-44,female,Prairies,5,5
716.99,1,1,0.0438,0.0476,0,65+,male,Ontario,4,4
826.31,1,0,0.0708,0.0752,0,65+,female,Prairies,4,4
497.38,1,0,0.0088,0.0127,0,25-44,female,Quebec,5,2
812.41,0,0,0.0,0.0,0,25-44,male,Prairies,4,1
723.64,0,0,0.0,0.0,1,25-44,male,Ontario,5,3
517.24,1,1,0.0922,0.0755,0,25-44,male,BC,3,5
924.79,1,1,0.136,0.08,0,15-24,female,Prairies,5,5
816.11,0,0,0.0,0.0,0,65+,male,Atlantic,3,4
1088.17,0,0,0.0,0.0,0,25-44,female,Ontario,5,3
1055.7,0,0,0.0,0.0,0,45-64,male,Atlantic,5,4
960.51,1,0,0.1377,0.079,0,65+,female,BC,5,3
902.87,1,0,0.0653,0.068,0,65+,male,Ontario,5,4
928.47,1,1,0.0206,0.0159,1,45-64,female,Quebec,3,3
842.17,1,0,0.1636,0.0798,1,25-44,female,Ontario,5,2
897.65,1,0,0.0429,0.0395,0,45-64,female,BC,4,3
1098.06,0,0,0.0,0.0,0,25-44,male,Atlantic,3,4
881.13,1,1,0.0699,0.0706,0,45-64,female,Quebec,1,5
1152.58,1,1,0.0811,0.0754,0,15-24,female,Ontario,2,4
983.83,1,0,0.0533,0.0509,1,65+,female,Quebec,3,4
1139.72,1,0,0.103,0.08,0,65+,female,Prairies,2,4
756.33,1,0,0.1583,0.0797,1,25-44,female,Ontario,1,3
878.59,1,1,0.0691,0.0705,0,15-24,female,Prairies,5,4
636.84,1,0,0.1795,0.08,0,45-64,male,Quebec,5,3
807.06,1,0,0.0916,0.08,0,45-64,female,Quebec,3,4
1032.21,1,0,0.0495,0.0529,0,25-44,female,Prairies,3,5
1238.86,1,1,0.1688,0.08,0,25-44,male,Ontario,3,4
477.03,1,0,0.165,0.0769,0,65+,female,Quebec,4,3
543.08,1,0,0.1355,0.0773,0,65+,female,Quebec,3,4
885.33,0,0,0.0,0.0,0,45-64,male,Ontario,4,4
701.91,1,1,0.0811,0.08,0,15-24,male,Ontario,5,4
1088.47,1,0,0.1591,0.0765,1,45-64,female,Ontario,4,4
828.89,1,0,0.1666,0.08,0,65+,female,Atlantic,2,5
1121.42,1,0,0.0344,0.0312,0,45-64,female,Atlantic,5,3
913.03,0,0,0.0,0.0,0,25-44,male,Ontario,4,3
406.29,0,0,0.0,0.0,0,45-64,female,Ontario,5,4
724.26,1,1,0.0224,0.0196,0,15-24,female,Ontario,4,4
761.03,1,1,0.002,0.0035,0,25-44,female,Ontario,5,5
431.65,1,0,0.0816,0.08,1,25-44,female,Ontario,5,4
862.93,1,0,0.1417,0.0756,0,65+,female,Ontario,5,4
941.58,0,0,0.0,0.0,0,45-64,female,Ontario,4,4
602.17,1,0,0.0278,0.0278,0,45-64,female,Quebec,4,4
716.63,1,0,0.0957,0.08,1,15-24,female,Quebec,3,3
419.85,1,0,0.0798,0.08,0,65+,male,BC,5,5
936.97,0,0,0.0,0.0,1,15-24,female,Atlantic,3,5
889.27,1,0,0.1794,0.0758,0,25-44,female,Prairies,3,5
657.39,0,0,0.0,0.0,0,45-64,female,Quebec,4,4
815.35,1,1,0.1534,0.08,0,65+,female,Ontario,4,4
550.31,1,0,0.0077,0.011,0,25-44,male,Ontario,4,4
663.44,1,0,0.1577,0.0758,0,65+,female,Ontario,5,5
858.26,1,1,0.1305,0.08,0,25-44,male,Quebec,3,4
1283.5,1,0,0.0589,0.0597,1,25-44,female,Quebec,4,1
901.01,1,1,0.0017,0.0007,0,65+,male,BC,4,5
1158.8,1,0,0.1575,0.0776,0,25-44,female,Ontario,3,2
794.31,1,0,0.1763,0.08,1,25-44,male,Quebec,4,2
1023.71,1,0,0.1625,0.0759,0,25-44,female,Quebec,3,3
610.51,1,0,0.0749,0.0757,0,15-24,female,Prairies,3,3
1121.53,1,0,0.0489,0.0481,1,25-44,female,Prairies,4,1
626.16,1,0,0.0039,0.0054,0,65+,male,BC,5,4
817.41,0,0,0.0,0.0,1,25-44,male,Ontario,4,4
637.31,1,1,0.0191,0.0179,0,15-24,male,Quebec,5,2
549.36,1,1,0.0197,0.0217,0,65+,male,Prairies,4,5
654.35,1,0,0.1776,0.0797,0,45-64,male,BC,4,5
794.26,1,0,0.0995,0.0777,1,65+,male,Prairies,3,4
820.0,1,0,0.071,0.0687,0,45-64,male,Ontario,3,4
667.83,1,0,0.0986,0.08,0,25-44,male,Quebec,5,5
249.4,0,0,0.0,0.0,0,45-64,male,BC,4,4
1002.38,0,0,0.0,0.0,1,25-44,male,Quebec,4,5
977.88,1,0,0.1524,0.0755,0,45-64,male,Ontario,3,3
863.19,1,0,0.1173,0.0753,1,45-64,female,BC,3,3
882.29,1,0,0.0092,0.005,1,25-44,male,Atlantic,4,5
906.49,1,1,0.1643,0.08,0,65+,male,Quebec,3,2
977.56,1,1,0.0278,0.0292,0,45-64,male,BC,3,3
799.02,1,0,0.142,0.08,0,45-64,other,Prairies,3,5
870.87,1,0,0.0751,0.073,1,65+,female,Ontario,2,4
996.3,1,0,0.1396,0.0786,1,45-64,male,Ontario,4,3
542.9,0,0,0.0,0.0,1,65+,male,Ontario,5,4
936.04,0,0,0.0,0.0,0,25-44,male,Ontario,4,3
788.12,0,0,0.0,0.0,0,65+,male,Ontario,2,4
741.85,0,0,0.0,0.0,1,15-24,male,Ontario,1,5
1215.66,1,1,0.0373,0.0382,1,25-44,female,Ontario,4,4
876.07,1,1,0.054,0.0532,0,45-64,female,Ontario,3,4
762.48,0,0,0.0,0.0,0,25-44,female,Quebec,1,3
799.67,1,0,0.1032,0.0757,0,25-44,male,Ontario,3,3
832.22,1,0,0.1261,0.08,0,65+,male,Quebec,4,5
669.71,1,1,0.0813,0.0773,0,45-64,other,Ontario,5,4
806.58,1,0,0.1626,0.0777,1,25-44,female,Ontario,4,3
789.23,1,0,0.0995,0.0794,0,65+,female,Ontario,3,4
792.14,1,0,0.1242,0.0779,1,45-64,female,Quebec,2,5
760.59,1,0,0.014,0.0113,0,45-64,male,BC,4,4
677.33,0,0,0.0,0.0,1,65+,female,Ontario,5,4
946.08,1,0,0.1438,0.0772,1,25-44,female,Ontario,3,3
841.44,1,0,0.1785,0.08,0,45-64,female,Ontario,3,4
1012.0,1,0,0.1059,0.078,0,25-44,male,Ontario,5,4
667.6,1,0,0.0916,0.08,0,65+,female,BC,4,2
782.76,1,0,0.1272,0.08,0,45-64,female,Ontario,2,4
1154.59,1,0,0.0213,0.0203,0,25-44,female,Prairies,3,4
776.61,1,0,0.0884,0.08,0,25-44,female,Ontario,4,4
545.4,1,1,0.1496,0.0791,0,15-24,female,Prairies,4,5
753.75,1,0,0.1448,0.0786,1,65+,female,BC,3,3
710.24,1,0,0.0461,0.049,1,25-44,male,Ontario,4,5
570.87,1,1,0.134,0.0783,1,65+,male,Quebec,5,3
600.88,0,0,0.0,0.0,0,25-44,female,Prairies,5,4
1080.99,0,0,0.0,0.0,0,15-24,female,Ontario,4,2
983.52,1,0,0.0938,0.08,0,15-24,male,Atlantic,5,4
975.03,1,1,0.132,0.0768,1,45-64,male,Prairies,3,4
853.71,1,0,0.1436,0.0794,0,25-44,female,Ontario,5,5
1237.41,1,1,0.1421,0.0775,0,15-24,female,Quebec,3,3
783.68,1,0,0.0463,0.0432,0,25-44,female,Ontario,3,5
1119.39,1,1,0.1703,0.0785,1,45-64,male,BC,4,4
645.51,1,0,0.0317,0.0274,0,25-44,female,Ontario,4,1
817.88,1,0,0.133,0.0787,0,65+,female,Ontario,4,3
508.83,1,0,0.0761,0.0753,0,25-44,female,BC,5,4
694.84,1,1,0.0986,0.08,0,25-44,other,Prairies,5,4
749.91,1,1,0.122,0.08,0,25-44,male,BC,5,3
1080.46,1,1,0.1519,0.0775,0,65+,female,Ontario,3,4
944.56,1,0,0.0585,0.0561,0,25-44,other,Prairies,4,5
1102.81,1,0,0.0461,0.045,0,45-64,female,Ontario,5,4
530.91,1,0,0.0119,0.0151,0,45-64,male,Prairies,4,4
562.56,1,0,0.0718,0.0734,0,45-64,female,Quebec,4,4
862.38,1,0,0.0396,0.0417,0,15-24,female,Prairies,2,5
501.15,1,0,0.0343,0.0303,1,15-24,female,BC,4,3
792.83,1,0,0.0099,0.0117,0,25-44,male,BC,5,5
523.95,0,0,0.0,0.0,0,25-44,male,Ontario,5,2
610.74,1,0,0.1315,0.08,0,25-44,male,Ontario,3,5
700.19,1,0,0.17,0.08,0,25-44,male,Atlantic,3,4
461.92,0,0,0.0,0.0,1,45-64,male,BC,1,4
989.09,1,0,0.1004,0.08,0,65+,male,Ontario,3,5
598.26,0,0,0.0,0.0,0,25-44,female,Ontario,1,3
677.27,1,0,0.0377,0.0388,1,25-44,female,Ontario,5,5
439.46,1,1,0.0435,0.0473,0,25-44,female,Quebec,1,3
782.67,1,0,0.106,0.08,0,25-44,male,Prairies,5,5
1045.82,1,0,0.0414,0.0411,0,45-64,male,Ontario,4,5
854.34,1,0,0.0532,0.053,0,25-44,female,Ontario,3,4
505.04,0,0,0.0,0.0,0,45-64,male,BC,2,4
816.01,0,0,0.0,0.0,1,25-44,female,Quebec,3,5
702.87,1,0,0.1605,0.0776,0,45-64,male,Prairies,2,3
835.66,1,0,0.1123,0.08,1,25-44,male,Ontario,4,5
581.55,1,0,0.0937,0.0778,0,15-24,male,Prairies,4,4
674.74,1,0,0.012,0.0105,0,25-44,other,Atlantic,5,2
1049.48,1,0,0.116,0.0776,0,25-44,male,Ontario,4,4
867.56,1,0,0.1029,0.08,0,25-44,female,BC,4,2
643.36,0,0,0.0,0.0,0,65+,male,Quebec,3,3
726.2,0,0,0.0,0.0,0,45-64,female,BC,4,3
1054.32,0,0,0.0,0.0,0,25-44,other,Prairies,1,3
660.2,1,0,0.0247,0.0249,1,45-64,male,Quebec,4,4
1048.46,0,0,0.0,0.0,0,15-24,female,BC,2,4
868.77,0,0,0.0,0.0,1,25-44,male,Ontario,4,3
722.13,1,0,0.1795,0.0793,1,45-64,male,Atlantic,3,3
709.34,1,0,0.153,0.079,0,15-24,male,Ontario,3,4
762.97,0,0,0.0,0.0,1,45-64,male,BC,5,4
495.09,1,0,0.1379,0.08,0,45-64,female,Prairies,4,2
954.88,1,0,0.0037,0.0027,0,25-44,female,Quebec,3,4
703.91,1,1,0.1778,0.0785,0,65+,male,Ontario,5,4
1030.86,1,0,0.0639,0.0675,0,65+,male,Ontario,4,5
750.93,0,0,0.0,0.0,0,45-64,male,Atlantic,3,3
807.27,1,1,0.0414,0.0431,0,15-24,male,Prairies,3,1
633.49,1,0,0.082,0.0763,0,15-24,male,Ontario,1,4
1120.56,1,1,0.1023,0.08,0,25-44,female,Ontario,3,3
1049.27,0,0,0.0,0.0,0,45-64,male,Quebec,4,5
991.47,1,1,0.0238,0.0252,0,65+,female,Ontario,3,4
772.95,1,0,0.1621,0.0794,0,25-44,male,Ontario,4,3
605.04,1,0,0.0922,0.08,0,45-64,male,BC,3,3
486.0,1,0,0.116,0.079,0,45-64,female,Ontario,4,5
686.4,1,0,0.1628,0.0754,1,25-44,male,BC,5,4
966.03,1,0,0.1368,0.08,1,65+,male,Prairies,5,5
851.47,1,0,0.0191,0.0219,1,45-64,female,BC,4,5
1044.09,1,0,0.1522,0.08,0,25-44,male,Quebec,4,4
897.09,0,0,0.0,0.0,0,45-64,female,Quebec,3,4
1060.29,1,1,0.037,0.0339,1,45-64,male,Ontario,4,3
702.87,1,0,0.0523,0.0553,0,45-64,female,Quebec,1,3
509.62,1,0,0.1016,0.08,0,25-44,male,Quebec,4,4
996.38,0,0,0.0,0.0,0,25-44,male,Quebec,4,3
735.38,1,0,0.1251,0.0752,0,15-24,female,BC,4,5
906.08,1,0,0.1208,0.08,0,45-64,female,Atlantic,2,5
993.3,1,0,0.0516,0.0489,1,65+,female,Ontario,2,4
801.12,1,0,0.0684,0.0654,0,15-24,male,Quebec,3,2
551.85,0,0,0.0,0.0,0,15-24,other,Ontario,5,4
626.06,1,1,0.1649,0.08,0,45-64,male,Ontario,1,4
803.85,1,0,0.0543,0.05,1,45-64,male,BC,2,3
909.81,1,1,0.0084,0.0079,1,45-64,other,BC,4,4
1028.67,1,0,0.0021,0.002,1,25-44,other,Ontario,4,4
910.05,1,0,0.0173,0.0213,1,15-24,female,BC,1,3
520.51,1,0,0.0611,0.0613,1,25-44,female,Quebec,5,4
751.79,1,0,0.1657,0.08,1,25-44,male,BC,4,3
803.13,1,0,0.0601,0.0639,1,65+,male,Quebec,5,3
641.42,1,1,0.0897,0.0779,0,25-44,female,Quebec,5,5
1154.03,1,0,0.005,0.0083,1,25-44,female,Ontario,1,4
1021.13,1,0,0.0027,0.0,0,15-24,male,BC,2,5
799.43,1,0,0.1304,0.08,0,45-64,female,Ontario,2,5
759.99,1,0,0.0092,0.0135,0,45-64,male,Ontario,2,4
598.04,0,0,0.0,0.0,0,25-44,male,BC,5,5
983.01,1,0,0.008,0.0091,1,25-44,male,Ontario,5,1
688.18,0,0,0.0,0.0,0,45-64,male,Atlantic,2,3
713.46,1,1,0.0233,0.0221,1,15-24,male,Quebec,4,3
568.43,1,0,0.1198,0.076,0,25-44,male,Quebec,3,4
784.1,0,0,0.0,0.0,0,25-44,male,Ontario,2,4
682.59,1,0,0.0191,0.0232,1,25-44,male,Quebec,2,1
633.74,1,0,0.1687,0.08,0,25-44,female,Ontario,3,5
707.33,1,1,0.0905,0.08,0,25-44,female,Ontario,2,4
1073.79,1,0,0.0723,0.0738,1,25-44,female,Quebec,5,4
521.06,1,0,0.0697,0.0724,0,65+,female,Atlantic,3,5
968.26,1,0,0.0376,0.0421,0,25-44,female,Ontario,1,1
606.35,1,0,0.1117,0.08,0,65+,male,Prairies,4,2
808.61,1,0,0.065,0.068,0,15-24,female,Ontario,2,3
984.59,1,0,0.0733,0.0776,1,45-64,male,Quebec,3,5
904.67,1,0,0.0072,0.0079,1,25-44,male,Quebec,4,4
760.76,1,0,0.0611,0.064,1,45-64,male,Prairies,5,4
819.24,1,0,0.0354,0.0315,1,15-24,male,Quebec,5,3
441.29,0,0,0.0,0.0,0,65+,female,Ontario,1,4
984.5,1,1,0.037,0.0389,0,45-64,male,Quebec,4,2
465.54,1,0,0.1648,0.08,1,25-44,female,Ontario,4,2
1185.13,1,1,0.1412,0.0763,1,45-64,male,Ontario,1,4
655.68,1,0,0.1647,0.08,1,15-24,female,Prairies,2,3
1025.25,0,0,0.0,0.0,0,25-44,male,Quebec,2,5
1079.62,1,0,0.1742,0.08,0,65+,female,Quebec,5,4
768.46,1,0,0.0737,0.0735,0,25-44,female,Prairies,4,4
806.09,1,0,0.1262,0.08,0,25-44,male,Atlantic,3,2
650.97,1,0,0.0206,0.024,0,25-44,male,Ontario,3,4
724.47,1,0,0.0615,0.0609,1,25-44,male,Quebec,3,4
840.13,1,0,0.0311,0.0278,0,65+,female,Atlantic,5,2
689.2,1,0,0.0775,0.08,1,25-44,male,Atlantic,4,1
695.95,1,0,0.0978,0.08,1,45-64,female,Quebec,3,5
1229.53,1,1,0.1381,0.0772,1,25-44,female,BC,5,3
1179.86,1,1,0.0193,0.0155,0,15-24,other,Quebec,2,3
727.09,1,0,0.1241,0.0762,0,15-24,female,Quebec,3,5
1109.67,1,0,0.1642,0.08,0,25-44,male,Quebec,2,4
1025.56,0,0,0.0,0.0,0,45-64,male,Quebec,4,3
781.31,1,0,0.1056,0.0766,0,65+,female,BC,4,3
1227.33,1,1,0.0003,0.0,0,65+,female,Quebec,4,4
933.9,1,1,0.1018,0.08,0,65+,male,Prairies,3,4
751.27,1,0,0.1687,0.0761,0,15-24,female,Quebec,3,2
1041.42,1,0,0.1527,0.08,0,45-64,male,Quebec,2,5
893.17,1,0,0.0325,0.0363,1,15-24,female,Ontario,4,3
396.67,1,0,0.1326,0.08,0,45-64,female,Ontario,2,4
806.16,0,0,0.0,0.0,1,25-44,male,Ontario,4,5
1157.3,1,0,0.1117,0.0754,1,45-64,female,Prairies,5,4
833.73,1,0,0.0232,0.0279,0,45-64,female,Ontario,4,5
895.92,1,1,0.1594,0.0762,0,65+,female,Prairies,3,3
1014.26,1,1,0.0235,0.022,1,25-44,female,Prairies,2,4
415.94,1,0,0.037,0.0345,0,25-44,male,Prairies,2,5
693.91,1,0,0.0011,0.0034,1,15-24,male,Atlantic,3,3
799.57,1,0,0.1693,0.08,1,25-44,male,Ontario,3,4
496.96,0,0,0.0,0.0,0,45-64,male,Ontario,5,2
823.79,1,0,0.0145,0.0189,0,65+,female,Ontario,2,5
798.35,1,1,0.0154,0.0126,0,25-44,male,Ontario,5,5
1094.34,1,0,0.0895,0.0768,1,45-64,male,Prairies,3,3
931.71,0,0,0.0,0.0,0,45-64,male,Ontario,2,4
823.71,1,1,0.0168,0.0211,1,45-64,female,Ontario,3,4
717.3,1,1,0.1523,0.0779,0,45-64,male,BC,4,3
568.44,1,0,0.0449,0.0411,0,65+,male,Ontario,4,2
873.92,1,0,0.0004,0.0039,0,25-44,male,Ontario,3,1
663.91,1,0,0.1575,0.0797,0,25-44,male,Ontario,3,5
712.89,1,1,0.1211,0.08,0,65+,female,BC,4,4
900.55,1,0,0.0225,0.0259,0,25-44,female,Quebec,4,5
658.41,1,0,0.1323,0.075,0,45-64,male,Ontario,3,4
933.37,0,0,0.0,0.0,0,45-64,male,Ontario,4,5
889.25,1,1,0.1784,0.0759,0,45-64,female,BC,3,5
521.85,1,1,0.1361,0.08,0,65+,male,Quebec,4,5
613.56,0,0,0.0,0.0,0,25-44,female,BC,3,3
733.83,0,0,0.0,0.0,1,65+,other,Atlantic,3,3
592.17,1,1,0.0097,0.0121,0,45-64,other,Ontario,4,3
1212.46,1,0,0.0613,0.0572,0,65+,male,BC,4,3
888.4,1,0,0.1623,0.08,0,65+,female,Quebec,3,2
471.25,0,0,0.0,0.0,0,45-64,male,BC,4,4
712.95,1,0,0.0161,0.0139,0,45-64,female,BC,4,5
749.35,1,0,0.0357,0.0335,0,25-44,female,Ontario,2,3
616.77,1,1,0.1546,0.08,0,25-44,male,Quebec,3,2
1060.7,1,0,0.0389,0.0397,1,65+,female,Ontario,5,3
942.29,1,1,0.1047,0.08,0,15-24,female,Ontario,1,5
