EVENT_UNIQUE_ID,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DATE,MCI_CATEGORY,OFFENCE,DIVISION,HOOD_158,PREMISES_TYPE
GO-2020000052,2024,2,21,2024-02-21,Robbery,Robbery,D50,86,House
GO-2020000053,2024,1,10,2024-01-10,Assault,Assault,D44,138,Other
GO-2020000054,2022,9,2,2022-09-02,Assault,Assault,D25,82,Outside
GO-2020000055,2022,11,25,2022-11-25,Auto Theft,Auto Theft,D47,96,Outside
GO-2020000056,2022,9,10,2022-09-10,Auto Theft,Auto Theft,D31,149,Commercial
GO-2020000057,2024,11,8,2024-11-08,Assault,Assault,D29,96,Other
GO-2020000058,2024,9,18,2024-09-18,Assault,Assault,D49,114,Outside
GO-2020000059,2023,4,10,2023-04-10,Assault,Assault,D21,55,Outside
GO-2020000060,2022,6,8,2022-06-08,Assault,Assault,D44,153,House
GO-2020000061,2024,3,10,2024-03-10,Assault,Assault,D55,52,House
GO-2020000062,2024,11,6,2024-11-06,Assault,Assault,D54,91,Commercial
GO-2020000063,2024,7,14,2024-07-14,Auto Theft,Auto Theft,D29,4,Apartment
GO-2020000064,2024,11,9,2024-11-09,Assault,Assault,D41,21,Outside
GO-2020000065,2022,3,7,2022-03-07,Break and Enter,Break and Enter,D38,52,House
GO-2020000066,2023,8,22,2023-08-22,Break and Enter,Break and Enter,D11,96,Apartment
GO-2020000067,2024,2,18,2024-02-18,Assault,Assault,D53,18,Outside
GO-2020000068,2023,5,2,2023-05-02,Robbery,Robbery,D48,23,Other
GO-2020000069,2024,12,1,2024-12-01,Assault,Assault,D51,146,Apartment
GO-2020000070,2024,9,28,2024-09-28,Assault,Assault,D28,26,House
GO-2020000071,2022,6,14,2022-06-14,Auto Theft,Auto Theft,D54,145,Apartment
GO-2020000072,2023,2,3,2023-02-03,Auto Theft,Auto Theft,D25,49,Other
GO-2020000073,2024,8,26,2024-08-26,Break and Enter,Break and Enter,D37,22,Commercial
GO-2020000074,2024,3,16,2024-03-16,Auto Theft,Auto Theft,D29,25,Apartment
GO-2020000075,2024,10,18,2024-10-18,Assault,Assault,D41,3,Other
GO-2020000076,2024,3,7,2024-03-07,Assault,Assault,D50,26,Other
GO-2020000077,2022,7,21,2022-07-21,Assault,Assault,D19,74,Commercial
GO-2020000078,2024,4,27,2024-04-27,Break and Enter,Break and Enter,D34,103,Other
GO-2020000079,2022,3,7,2022-03-07,Robbery,Robbery,D17,102,Apartment
GO-2020000080,2023,5,16,2023-05-16,Assault,Assault,D53,153,Other
GO-2020000081,2023,7,18,2023-07-18,Theft Over,Theft Over,D15,35,Commercial
GO-2020000082,2024,7,2,2024-07-02,Robbery,Robbery,D38,45,Commercial
GO-2020000083,2024,10,23,2024-10-23,Robbery,Robbery,D32,125,House
GO-2020000084,2022,6,10,2022-06-10,Assault,Assault,D34,136,Apartment
GO-2020000085,2024,9,26,2024-09-26,Assault,Assault,D31,91,House
GO-2020000086,2022,6,15,2022-06-15,Assault,Assault,D27,1,Outside
GO-2020000087,2024,12,1,2024-12-01,Auto Theft,Auto Theft,D22,105,Commercial
GO-2020000088,2024,7,19,2024-07-19,Auto Theft,Auto Theft,D34,157,Other
GO-2020000089,2023,6,4,2023-06-04,Assault,Assault,D37,103,Other
GO-2020000090,2023,1,25,2023-01-25,Assault,Assault,D24,43,Apartment
GO-2020000091,2024,5,24,2024-05-24,Robbery,Robbery,D47,10,Commercial
GO-2020000092,2024,4,5,2024-04-05,Auto Theft,Auto Theft,D39,125,Other
GO-2020000093,2024,8,9,2024-08-09,Break and Enter,Break and Enter,D47,91,Other
GO-2020000094,2024,4,13,2024-04-13,Break and Enter,Break and Enter,D19,4,Outside
GO-2020000095,2023,10,19,2023-10-19,Assault,Assault,D54,49,Other
GO-2020000096,2022,3,3,2022-03-03,Assault,Assault,D49,65,House
GO-2020000097,2023,9,23,2023-09-23,Assault,Assault,D54,14,Other
GO-2020000098,2022,9,24,2022-09-24,Auto Theft,Auto Theft,D52,84,Outside
GO-2020000099,2023,12,1,2023-12-01,Assault,Assault,D20,147,Commercial
GO-2020000100,2023,5,3,2023-05-03,Auto Theft,Auto Theft,D46,38,Commercial
GO-2020000101,2024,1,16,2024-01-16,Assault,Assault,D20,59,Outside
GO-2020000102,2024,4,5,2024-04-05,Assault,Assault,D39,7,Apartment
GO-2020000103,2024,2,11,2024-02-11,Assault,Assault,D48,22,House
GO-2020000104,2022,6,15,2022-06-15,Assault,Assault,D19,10,Outside
GO-2020000105,2024,11,13,2024-11-13,Assault,Assault,D45,31,Outside
GO-2020000106,2022,12,5,2022-12-05,Auto Theft,Auto Theft,D24,152,Outside
GO-2020000107,2024,10,24,2024-10-24,Break and Enter,Break and Enter,D34,124,Other
GO-2020000108,2023,1,15,2023-01-15,Assault,Assault,D53,150,House
GO-2020000109,2023,5,23,2023-05-23,Robbery,Robbery,D25,121,Apartment
GO-2020000110,2024,5,12,2024-05-12,Break and Enter,Break and Enter,D30,87,Outside
GO-2020000111,2023,1,8,2023-01-08,Break and Enter,Break and Enter,D54,151,Other
GO-2020000112,2022,4,21,2022-04-21,Auto Theft,Auto Theft,D48,102,Commercial
GO-2020000113,2022,6,19,2022-06-19,Assault,Assault,D40,11,Outside
GO-2020000114,2024,8,5,2024-08-05,Assault,Assault,D54,90,House
GO-2020000115,2022,12,20,2022-12-20,Theft Over,Theft Over,D46,82,Apartment
GO-2020000116,2022,12,4,2022-12-04,Assault,Assault,D34,82,Other
GO-2020000117,2023,4,26,2023-04-26,Assault,Assault,D47,119,Commercial
GO-2020000118,2022,2,7,2022-02-07,Auto Theft,Auto Theft,D11,122,Other
GO-2020000119,2023,8,2,2023-08-02,Assault,Assault,D40,111,Other
GO-2020000120,2023,9,22,2023-09-22,Robbery,Robbery,D24,14,Outside
GO-2020000121,2023,10,28,2023-10-28,Theft Over,Theft Over,D53,151,Outside
GO-2020000122,2024,10,22,2024-10-22,Assault,Assault,D51,7,Other
GO-2020000123,2024,7,7,2024-07-07,Break and Enter,Break and Enter,D24,98,Other
GO-2020000124,2022,4,26,2022-04-26,Auto Theft,Auto Theft,D28,139,Outside
GO-2020000125,2023,9,3,2023-09-03,Auto Theft,Auto Theft,D46,86,Apartment
GO-2020000126,2022,8,9,2022-08-09,Auto Theft,Auto Theft,D50,35,Outside
GO-2020000127,2022,5,25,2022-05-25,Break and Enter,Break and Enter,D47,84,Other
GO-2020000128,2023,1,17,2023-01-17,Assault,Assault,D50,99,House
GO-2020000129,2022,7,24,2022-07-24,Break and Enter,Break and Enter,D25,76,House
GO-2020000130,2023,10,4,2023-10-04,Assault,Assault,D22,3,Other
GO-2020000131,2024,11,13,2024-11-13,Auto Theft,Auto Theft,D32,138,Commercial
GO-2020000132,2024,2,9,2024-02-09,Break and Enter,Break and Enter,D47,78,House
GO-2020000133,2022,10,8,2022-10-08,Auto Theft,Auto Theft,D19,82,Apartment
GO-2020000134,2024,7,14,2024-07-14,Auto Theft,Auto Theft,D42,90,Commercial
GO-2020000135,2022,6,14,2022-06-14,Assault,Assault,D51,156,Apartment
GO-2020000136,2024,2,2,2024-02-02,Auto Theft,Auto Theft,D53,32,Commercial
GO-2020000137,2022,2,6,2022-02-06,Assault,Assault,D44,40,Other
GO-2020000138,2022,2,21,2022-02-21,Assault,Assault,D16,66,Outside
GO-2020000139,2023,8,22,2023-08-22,Auto Theft,Auto Theft,D31,3,Outside
GO-2020000140,2022,9,22,2022-09-22,Auto Theft,Auto Theft,D19,4,Apartment
GO-2020000141,2023,5,16,2023-05-16,Assault,Assault,D52,83,Apartment
GO-2020000142,2024,12,17,2024-12-17,Assault,Assault,D13,141,Apartment
GO-2020000143,2024,12,9,2024-12-09,Assault,Assault,D53,106,Other
GO-2020000144,2024,5,25,2024-05-25,Break and Enter,Break and Enter,D12,8,Apartment
GO-2020000145,2022,3,20,2022-03-20,Break and Enter,Break and Enter,D12,4,Apartment
GO-2020000146,2023,4,18,2023-04-18,Assault,Assault,D11,113,Commercial
GO-2020000147,2022,6,13,2022-06-13,Robbery,Robbery,D29,121,Apartment
GO-2020000148,2022,7,1,2022-07-01,Robbery,Robbery,D42,73,House
GO-2020000149,2022,4,17,2022-04-17,Assault,Assault,D33,46,Outside
GO-2020000150,2024,9,16,2024-09-16,Robbery,Robbery,D15,8,Outside
GO-2020000151,2022,2,15,2022-02-15,Robbery,Robbery,D47,44,Commercial
GO-2020000152,2023,2,9,2023-02-09,Robbery,Robbery,D13,123,Other
GO-2020000153,2024,4,18,2024-04-18,Break and Enter,Break and Enter,D45,1,House
GO-2020000154,2024,2,7,2024-02-07,Assault,Assault,D46,8,Outside
GO-2020000155,2024,12,9,2024-12-09,Break and Enter,Break and Enter,D27,61,Outside
GO-2020000156,2022,4,15,2022-04-15,Assault,Assault,D19,76,Apartment
GO-2020000157,2024,1,8,2024-01-08,Break and Enter,Break and Enter,D24,133,House
GO-2020000158,2023,11,28,2023-11-28,Auto Theft,Auto Theft,D11,140,Commercial
GO-2020000159,2024,10,3,2024-10-03,Robbery,Robbery,D11,104,House
GO-2020000160,2022,4,16,2022-04-16,Assault,Assault,D46,24,Commercial
GO-2020000161,2023,1,13,2023-01-13,Assault,Assault,D29,152,Outside
GO-2020000162,2024,6,12,2024-06-12,Break and Enter,Break and Enter,D50,89,Apartment
GO-2020000163,2023,7,22,2023-07-22,Auto Theft,Auto Theft,D22,9,Other
GO-2020000164,2023,1,1,2023-01-01,Auto Theft,Auto Theft,D45,70,Apartment
GO-2020000165,2024,1,6,2024-01-06,Assault,Assault,D27,102,Commercial
GO-2020000166,2024,1,22,2024-01-22,Auto Theft,Auto Theft,D55,79,Outside
GO-2020000167,2024,1,11,2024-01-11,Assault,Assault,D19,142,House
GO-2020000168,2023,4,25,2023-04-25,Robbery,Robbery,D54,9,House
GO-2020000169,2023,7,2,2023-07-02,Break and Enter,Break and Enter,D46,115,Apartment
GO-2020000170,2022,5,14,2022-05-14,Robbery,Robbery,D26,8,House
GO-2020000171,2024,12,13,2024-12-13,Break and Enter,Break and Enter,D16,146,Commercial
GO-2020000172,2022,10,4,2022-10-04,Break and Enter,Break and Enter,D55,73,Apartment
GO-2020000173,2024,2,25,2024-02-25,Assault,Assault,D54,62,House
GO-2020000174,2022,4,2,2022-04-02,Break and Enter,Break and Enter,D11,2,Apartment
GO-2020000175,2023,7,18,2023-07-18,Assault,Assault,D37,124,Apartment
GO-2020000176,2024,1,1,2024-01-01,Theft Over,Theft Over,D24,92,House
GO-2020000177,2024,6,26,2024-06-26,Auto Theft,Auto Theft,D21,143,Apartment
GO-2020000178,2023,1,7,2023-01-07,Assault,Assault,D18,124,Outside
GO-2020000179,2022,3,3,2022-03-03,Theft Over,Theft Over,D18,145,House
GO-2020000180,2024,1,8,2024-01-08,Assault,Assault,D11,16,Apartment
GO-2020000181,2022,9,24,2022-09-24,Auto Theft,Auto Theft,D42,44,House
GO-2020000182,2023,4,1,2023-04-01,Assault,Assault,D49,147,Outside
GO-2020000183,2022,12,19,2022-12-19,Assault,Assault,D37,127,House
GO-2020000184,2022,11,15,2022-11-15,Assault,Assault,D55,125,Outside
GO-2020000185,2022,1,12,2022-01-12,Theft Over,Theft Over,D33,122,Other
GO-2020000186,2022,7,6,2022-07-06,Theft Over,Theft Over,D31,111,Apartment
GO-2020000187,2023,5,9,2023-05-09,Break and Enter,Break and Enter,D25,24,Outside
GO-2020000188,2024,6,3,2024-06-03,Assault,Assault,D15,130,Other
GO-2020000189,2022,10,3,2022-10-03,Assault,Assault,D21,130,Other
GO-2020000190,2024,10,6,2024-10-06,Auto Theft,Auto Theft,D27,157,House
GO-2020000191,2023,6,17,2023-06-17,Robbery,Robbery,D23,1,House
GO-2020000192,2023,10,17,2023-10-17,Assault,Assault,D46,99,Other
GO-2020000193,2024,10,5,2024-10-05,Assault,Assault,D34,117,Other
GO-2020000194,2024,3,12,2024-03-12,Assault,Assault,D50,5,Apartment
GO-2020000195,2022,6,14,2022-06-14,Assault,Assault,D39,106,Commercial
GO-2020000196,2024,11,1,2024-11-01,Break and Enter,Break and Enter,D34,109,House
GO-2020000197,2024,3,10,2024-03-10,Theft Over,Theft Over,D29,47,Commercial
GO-2020000198,2024,10,18,2024-10-18,Assault,Assault,D37,65,House
GO-2020000199,2024,10,14,2024-10-14,Assault,Assault,D36,77,Apartment
GO-2020000200,2022,11,25,2022-11-25,Assault,Assault,D48,74,Apartment
GO-2020000201,2022,3,17,2022-03-17,Break and Enter,Break and Enter,D53,48,House
GO-2020000202,2023,1,16,2023-01-16,Assault,Assault,D23,104,Outside
GO-2020000203,2024,9,4,2024-09-04,Auto Theft,Auto Theft,D25,4,Outside
GO-2020000204,2024,9,19,2024-09-19,Assault,Assault,D18,146,Apartment
GO-2020000205,2022,12,23,2022-12-23,Break and Enter,Break and Enter,D30,33,Outside
GO-2020000206,2024,2,22,2024-02-22,Theft Over,Theft Over,D53,32,Other
GO-2020000207,2022,7,2,2022-07-02,Break and Enter,Break and Enter,D45,124,Commercial
GO-2020000208,2023,7,21,2023-07-21,Theft Over,Theft Over,D39,129,House
GO-2020000209,2023,10,22,2023-10-22,Theft Over,Theft Over,D24,93,Apartment
GO-2020000210,2022,11,11,2022-11-11,Assault,Assault,D27,118,Outside
GO-2020000211,2024,7,24,2024-07-24,Assault,Assault,D38,147,Other
GO-2020000212,2023,1,12,2023-01-12,Break and Enter,Break and Enter,D33,74,House
GO-2020000213,2024,3,12,2024-03-12,Assault,Assault,D44,36,Other
GO-2020000214,2022,1,4,2022-01-04,Assault,Assault,D14,94,Commercial
GO-2020000215,2024,3,28,2024-03-28,Assault,Assault,D42,125,House
GO-2020000216,2023,4,14,2023-04-14,Auto Theft,Auto Theft,D28,109,Other
GO-2020000217,2023,7,28,2023-07-28,Break and Enter,Break and Enter,D12,12,Apartment
GO-2020000218,2024,2,26,2024-02-26,Auto Theft,Auto Theft,D16,107,Outside
GO-2020000219,2023,2,15,2023-02-15,Assault,Assault,D49,146,Outside
GO-2020000220,2023,9,7,2023-09-07,Robbery,Robbery,D22,30,House
GO-2020000221,2024,7,23,2024-07-23,Assault,Assault,D40,28,Outside
GO-2020000222,2022,10,22,2022-10-22,Assault,Assault,D52,51,Commercial
GO-2020000223,2024,11,4,2024-11-04,Assault,Assault,D21,155,House
GO-2020000224,2023,12,11,2023-12-11,Assault,Assault,D20,41,Outside
GO-2020000225,2023,8,25,2023-08-25,Robbery,Robbery,D35,134,Commercial
GO-2020000226,2023,12,9,2023-12-09,Auto Theft,Auto Theft,D27,131,Apartment
GO-2020000227,2022,8,9,2022-08-09,Assault,Assault,D39,31,Commercial
GO-2020000228,2024,7,25,2024-07-25,Robbery,Robbery,D44,48,Commercial
GO-2020000229,2022,7,2,2022-07-02,Assault,Assault,D33,1,House
GO-2020000230,2023,5,22,2023-05-22,Assault,Assault,D23,132,Apartment
GO-2020000231,2024,5,15,2024-05-15,Assault,Assault,D11,28,Other
GO-2020000232,2023,8,3,2023-08-03,Assault,Assault,D32,39,Apartment
GO-2020000233,2022,1,22,2022-01-22,Robbery,Robbery,D17,51,Apartment
GO-2020000234,2024,11,8,2024-11-08,Auto Theft,Auto Theft,D18,158,Other
GO-2020000235,2022,9,11,2022-09-11,Theft Over,Theft Over,D49,20,Other
GO-2020000236,2024,8,26,2024-08-26,Robbery,Robbery,D39,128,Apartment
GO-2020000237,2023,7,9,2023-07-09,Theft Over,Theft Over,D18,116,Commercial
GO-2020000238,2023,9,28,2023-09-28,Break and Enter,Break and Enter,D40,154,Apartment
GO-2020000239,2023,2,19,2023-02-19,Robbery,Robbery,D14,48,Outside
GO-2020000240,2022,10,22,2022-10-22,Assault,Assault,D26,50,House
GO-2020000241,2024,4,1,2024-04-01,Break and Enter,Break and Enter,D41,83,Other
GO-2020000242,2024,7,3,2024-07-03,Assault,Assault,D47,53,Commercial
GO-2020000243,2024,4,6,2024-04-06,Auto Theft,Auto Theft,D27,140,Other
GO-2020000244,2023,12,21,2023-12-21,Break and Enter,Break and Enter,D48,29,Commercial
GO-2020000245,2022,1,1,2022-01-01,Theft Over,Theft Over,D49,154,Commercial
GO-2020000246,2023,10,17,2023-10-17,Assault,Assault,D50,144,Outside
GO-2020000247,2022,3,23,2022-03-23,Break and Enter,Break and Enter,D43,157,Outside
GO-2020000248,2024,7,22,2024-07-22,Theft Over,Theft Over,D26,31,Other
GO-2020000249,2022,8,3,2022-08-03,Break and Enter,Break and Enter,D46,107,Other
GO-2020000250,2022,2,14,2022-02-14,Auto Theft,Auto Theft,D41,116,Commercial
GO-2020000251,2024,8,19,2024-08-19,Break and Enter,Break and Enter,D36,53,Outside
GO-2020000252,2024,9,17,2024-09-17,Assault,Assault,D33,129,House
GO-2020000253,2022,2,23,2022-02-23,Auto Theft,Auto Theft,D45,9,Apartment
GO-2020000254,2023,11,8,2023-11-08,Break and Enter,Break and Enter,D45,13,House
GO-2020000255,2022,3,1,2022-03-01,Break and Enter,Break and Enter,D22,156,Other
GO-2020000256,2023,3,20,2023-03-20,Auto Theft,Auto Theft,D24,91,Commercial
GO-2020000257,2024,5,11,2024-05-11,Assault,Assault,D46,95,House
GO-2020000258,2023,11,9,2023-11-09,Break and Enter,Break and Enter,D31,142,House
GO-2020000259,2024,5,13,2024-05-13,Assault,Assault,D52,54,House
GO-2020000260,2023,2,6,2023-02-06,Robbery,Robbery,D47,93,Outside
GO-2020000261,2022,2,22,2022-02-22,Robbery,Robbery,D32,54,Apartment
GO-2020000262,2024,3,25,2024-03-25,Auto Theft,Auto Theft,D53,8,Outside
GO-2020000263,2024,12,2,2024-12-02,Auto Theft,Auto Theft,D18,133,Apartment
GO-2020000264,2023,2,4,2023-02-04,Theft Over,Theft Over,D47,129,Commercial
GO-2020000265,2022,8,22,2022-08-22,Auto Theft,Auto Theft,D30,144,Commercial
GO-2020000266,2024,7,26,2024-07-26,Assault,Assault,D47,64,Other
GO-2020000267,2024,11,16,2024-11-16,Assault,Assault,D26,50,Apartment
GO-2020000268,2022,2,10,2022-02-10,Assault,Assault,D37,62,Outside
GO-2020000269,2024,11,24,2024-11-24,Break and Enter,Break and Enter,D49,146,Apartment
GO-2020000270,2024,4,22,2024-04-22,Auto Theft,Auto Theft,D45,59,House
GO-2020000271,2024,5,8,2024-05-08,Auto Theft,Auto Theft,D21,90,Apartment
GO-2020000272,2024,6,20,2024-06-20,Break and Enter,Break and Enter,D55,96,House
GO-2020000273,2024,1,8,2024-01-08,Assault,Assault,D51,111,Commercial
GO-2020000274,2022,9,15,2022-09-15,Break and Enter,Break and Enter,D27,91,House
GO-2020000275,2023,6,27,2023-06-27,Auto Theft,Auto Theft,D44,57,Other
GO-2020000276,2022,3,1,2022-03-01,Assault,Assault,D18,116,Apartment
GO-2020000277,2024,4,25,2024-04-25,Auto Theft,Auto Theft,D13,137,Other
GO-2020000278,2024,3,16,2024-03-16,Assault,Assault,D23,134,Apartment
GO-2020000279,2022,11,16,2022-11-16,Assault,Assault,D25,66,Other
GO-2020000280,2024,10,1,2024-10-01,Assault,Assault,D49,32,Apartment
GO-2020000281,2022,12,13,2022-12-13,Auto Theft,Auto Theft,D29,16,House
GO-2020000282,2023,6,9,2023-06-09,Robbery,Robbery,D33,132,Other
GO-2020000283,2023,3,20,2023-03-20,Theft Over,Theft Over,D46,14,Other
GO-2020000284,2024,4,16,2024-04-16,Robbery,Robbery,D27,117,Apartment
GO-2020000285,2022,8,1,2022-08-01,Break and Enter,Break and Enter,D29,88,Outside
GO-2020000286,2024,2,10,2024-02-10,Robbery,Robbery,D35,99,Apartment
GO-2020000287,2023,11,3,2023-11-03,Assault,Assault,D37,66,Other
GO-2020000288,2022,10,2,2022-10-02,Assault,Assault,D36,66,Other
GO-2020000289,2023,10,24,2023-10-24,Break and Enter,Break and Enter,D42,143,House
GO-2020000290,2023,2,12,2023-02-12,Theft Over,Theft Over,D36,33,Outside
GO-2020000291,2022,5,13,2022-05-13,Theft Over,Theft Over,D44,12,Commercial
GO-2020000292,2024,7,4,2024-07-04,Assault,Assault,D32,153,Other
GO-2020000293,2022,1,6,2022-01-06,Auto Theft,Auto Theft,D27,111,Commercial
GO-2020000294,2024,9,22,2024-09-22,Theft Over,Theft Over,D24,56,Outside
GO-2020000295,2024,11,10,2024-11-10,Assault,Assault,D16,73,Commercial
GO-2020000296,2023,1,9,2023-01-09,Break and Enter,Break and Enter,D50,46,Commercial
GO-2020000297,2024,12,10,2024-12-10,Assault,Assault,D22,78,Commercial
GO-2020000298,2023,3,22,2023-03-22,Assault,Assault,D36,37,Apartment
GO-2020000299,2022,4,11,2022-04-11,Auto Theft,Auto Theft,D38,100,Apartment
GO-2020000300,2024,7,2,2024-07-02,Theft Over,Theft Over,D37,21,Outside
GO-2020000301,2023,7,22,2023-07-22,Assault,Assault,D44,58,Outside
GO-2020000302,2023,11,17,2023-11-17,Theft Over,Theft Over,D54,44,Apartment
GO-2020000303,2022,6,11,2022-06-11,Assault,Assault,D49,80,Commercial
GO-2020000304,2022,4,7,2022-04-07,Assault,Assault,D52,43,Apartment
GO-2020000305,2022,6,16,2022-06-16,Assault,Assault,D33,96,Apartment
GO-2020000306,2024,8,24,2024-08-24,Assault,Assault,D50,67,House
GO-2020000307,2023,5,19,2023-05-19,Auto Theft,Auto Theft,D24,11,Commercial
GO-2020000308,2023,12,12,2023-12-12,Theft Over,Theft Over,D36,29,Commercial
GO-2020000309,2022,2,3,2022-02-03,Break and Enter,Break and Enter,D20,116,Outside
GO-2020000310,2022,6,2,2022-06-02,Assault,Assault,D52,122,Other
GO-2020000311,2024,5,17,2024-05-17,Auto Theft,Auto Theft,D26,11,Commercial
GO-2020000312,2024,10,15,2024-10-15,Robbery,Robbery,D33,61,House
GO-2020000313,2022,4,28,2022-04-28,Assault,Assault,D22,134,Commercial
GO-2020000314,2024,5,19,2024-05-19,Assault,Assault,D53,42,Other
GO-2020000315,2024,12,11,2024-12-11,Break and Enter,Break and Enter,D23,121,Outside
GO-2020000316,2022,4,13,2022-04-13,Robbery,Robbery,D42,84,House
GO-2020000317,2023,7,6,2023-07-06,Break and Enter,Break and Enter,D48,106,Outside
GO-2020000318,2023,11,26,2023-11-26,Assault,Assault,D33,25,Apartment
GO-2020000319,2024,3,1,2024-03-01,Break and Enter,Break and Enter,D45,33,Apartment
GO-2020000320,2024,11,27,2024-11-27,Auto Theft,Auto Theft,D29,71,Other
GO-2020000321,2022,7,22,2022-07-22,Robbery,Robbery,D15,91,Other
GO-2020000322,2023,8,10,2023-08-10,Assault,Assault,D19,139,Commercial
GO-2020000323,2024,7,4,2024-07-04,Assault,Assault,D47,65,House
GO-2020000324,2024,5,18,2024-05-18,Break and Enter,Break and Enter,D41,8,Outside
GO-2020000325,2024,4,20,2024-04-20,Assault,Assault,D31,45,Other
GO-2020000326,2022,2,28,2022-02-28,Robbery,Robbery,D43,147,Commercial
GO-2020000327,2022,9,4,2022-09-04,Break and Enter,Break and Enter,D46,61,Apartment
GO-2020000328,2023,8,28,2023-08-28,Robbery,Robbery,D27,46,House
GO-2020000329,2023,5,14,2023-05-14,Auto Theft,Auto Theft,D21,55,Outside
GO-2020000330,2024,4,16,2024-04-16,Assault,Assault,D22,103,Other
GO-2020000331,2023,7,20,2023-07-20,Break and Enter,Break and Enter,D43,67,Outside
